timestamp,event,magnitude
2018-05-17T09:11:09Z,﻿,42.6253
2018-07-23T00:55:58Z,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },50.27765
2017-11-30T19:22:05Z,1.00,36.80221
2018-01-14T13:39:34Z,"""'""'""''''""",14.91447
2017-11-29T20:13:01Z,₀₁₂,72.00658
2018-02-19T16:47:43Z,Œ„´‰ˇÁ¨ˆØ∏”’,54.25439
2018-09-26T18:51:06Z,null,45.53945
2018-07-26T13:02:43Z,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,75.22241
2018-07-01T14:05:48Z,"""'""'""''''""",7.73196
2017-11-16T17:46:00Z,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,25.699
2017-11-23T10:31:26Z,社會科學院語學研究所,53.02662
2018-05-06T11:14:09Z,和製漢語,46.26209
2018-09-29T17:14:23Z,"<>?:""{}|_+",49.72769
2018-06-15T10:50:21Z,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",89.01647
2017-11-10T04:27:50Z,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,57.28812
2017-11-18T20:09:48Z,"'""'",67.83744
2018-06-10T06:58:39Z,␡,78.40836
2017-12-09T01:39:46Z,-1E+02,87.92919
2017-12-04T00:42:55Z,1.00,5.82274
2018-10-20T10:05:26Z,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,33.86206
2018-06-13T04:22:50Z,社會科學院語學研究所,60.90511
2018-01-20T05:43:58Z,‪‪test‪,56.85466
2018-06-03T07:20:53Z,../../../../../../../../../../../etc/hosts,97.37263
2018-07-31T23:41:23Z,␢,25.99077
2018-09-21T07:14:39Z,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,82.57202
2017-11-01T11:45:58Z,!@#$%^&*(),48.03711
2018-02-19T16:45:09Z,・(￣∀￣)・:*:,33.75517
2017-10-31T04:30:28Z,"<>?:""{}|_+",4.67941
2017-10-26T10:27:55Z,울란바토르,91.85885
2018-06-22T08:15:52Z,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,83.05341
2017-11-20T23:14:05Z,œ∑´®†¥¨ˆøπ“‘,73.09912
2017-11-04T12:31:54Z,-1E+02,68.01729
2018-09-06T12:15:09Z,Ω≈ç√∫˜µ≤≥÷,89.96244
2018-02-22T23:16:25Z,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,82.82972
2018-02-05T10:56:48Z,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",77.75064
2018-01-19T00:20:11Z,(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,74.38538
2018-02-21T07:52:03Z,0/0,33.99556
2018-06-13T22:23:10Z,0.00,21.07121
2018-05-25T14:06:58Z,1.00,26.24492
2018-01-15T15:46:47Z,(╯°□°）╯︵ ┻━┻)  ,76.31673
2018-03-12T23:06:30Z,𠜎𠜱𠝹𠱓𠱸𠲖𠳏,64.03927
2017-12-17T06:43:25Z,﻿,20.12645
2018-04-27T03:55:01Z, test ,29.4827
2018-08-13T02:20:11Z,"""'""'""''''""",33.06425
2017-11-01T19:38:25Z,00˙Ɩ$-,34.5814
2018-03-26T13:56:58Z,‪‪test‪,23.95784
2018-07-20T15:34:11Z,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,41.99514
2018-03-10T09:07:40Z,,81.28153
2018-09-18T13:36:56Z,1;DROP TABLE users,13.53738
2018-10-01T08:52:59Z,-$1.00,65.11476
2018-10-15T22:57:26Z,test⁠test‫,36.12442
2018-06-13T04:48:32Z,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",27.78092
2018-06-29T22:08:13Z,⁰⁴⁵,32.23524
2018-02-02T06:39:31Z,1E+02,8.40727
