timestamp,event,magnitude
2017-12-29T14:35:44Z,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },75.28227
2018-01-27T19:09:54Z,¸˛Ç◊ı˜Â¯˘¿,65.76862
2018-09-12T09:02:46Z,test⁠test‫,42.74666
2018-07-07T06:29:12Z,0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,37.22494
2018-10-14T08:29:43Z,🐵 🙈 🙉 🙊,97.34856
2018-05-28T06:02:29Z,"""""",70.23083
2017-10-29T20:30:53Z,1/0,36.66999
2018-06-04T13:36:54Z,１２３,21.66488
2018-08-13T09:14:54Z,,27.04349
2018-02-01T00:56:00Z,1.00,60.47649
2018-04-13T19:51:37Z,😍,51.9749
2018-01-09T08:02:53Z,"""''''""'""",64.84961
2018-09-21T18:01:23Z,⁰⁴⁵₀₁₂,43.18615
2018-04-21T22:07:35Z,0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,11.97026
2018-05-12T18:35:46Z,nil,95.21568
2018-06-17T07:06:12Z,œ∑´®†¥¨ˆøπ“‘,44.781
2018-02-18T07:14:46Z,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,90.32833
2017-11-19T22:53:53Z,울란바토르,44.77626
2018-08-18T00:03:39Z,和製漢語,54.25878
2018-01-31T21:58:08Z,<svg><script>0<1>alert('XSS')</script>,93.67726
2017-12-18T12:57:20Z,`⁄€‹›ﬁﬂ‡°·‚—±,5.16924
2018-06-17T07:56:28Z,😍,56.33713
2018-10-22T05:46:16Z,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",71.05564
2018-03-12T10:47:15Z,𠜎𠜱𠝹𠱓𠱸𠲖𠳏,34.17377
2018-06-04T08:53:05Z,null,65.04561
2018-09-01T04:25:26Z,部落格,92.41652
2017-12-16T09:29:58Z, test ,23.65229
2018-01-03T04:51:34Z,1;DROP TABLE users,84.76898
2018-10-13T02:46:55Z,¡™£¢∞§¶•ªº–≠,46.97985
2018-07-29T22:51:53Z,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,39.24303
2018-10-04T15:36:16Z,",./;'[]\-=",71.89571
2018-07-13T20:08:47Z,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,7.42494
2018-07-09T22:16:16Z,,71.82024
2018-08-19T18:04:56Z,-1,25.6408
2018-02-14T12:10:15Z,｀ｨ(´∀｀∩,45.86917
2018-07-31T09:27:41Z,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,29.06971
2018-05-01T07:02:05Z,𠜎𠜱𠝹𠱓𠱸𠲖𠳏,23.33783
2017-12-21T09:29:57Z,NIL,33.8521
2018-06-14T12:14:38Z,<img src=x onerror=alert('hi') />,59.18792
2018-02-13T18:15:47Z,‪‪test‪,65.33848
2017-11-19T18:06:16Z,<svg><script>0<1>alert('XSS')</script>,58.76542
2018-03-19T07:43:05Z,🐵 🙈 🙉 🙊,16.54321
2018-04-07T23:22:40Z,和製漢語,14.02498
2018-04-16T16:08:08Z,/dev/null; touch /tmp/blns.fail ; echo,53.17863
2018-06-13T22:37:54Z,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,18.11833
2018-05-08T00:16:52Z,田中さんにあげて下さい,60.96485
2017-10-30T12:01:36Z,和製漢語,92.55131
2018-02-21T18:19:19Z,​,62.84719
2017-12-31T13:24:07Z,(╯°□°）╯︵ ┻━┻)  ,84.05563
2018-07-05T04:05:55Z,​,86.6729
2018-05-29T07:57:48Z,1'; DROP TABLE users--,28.68793
2018-07-18T13:20:39Z,"""",94.09196
2017-12-18T04:19:11Z,﻿,87.64956
2018-01-05T16:18:02Z,1'; DROP TABLE users--,23.88287
2018-09-03T03:45:59Z,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,25.22843
2018-10-22T10:42:04Z,test⁠test‫,88.99129
2018-02-11T10:44:19Z,<script>alert('hi')</script>,15.30927
2018-01-01T01:56:30Z,',7.61851
2017-12-29T20:33:04Z,nil,81.7885
2018-06-23T19:48:01Z,⁰⁴⁵₀₁₂,62.83031
2018-02-04T18:05:07Z,הָיְתָהtestالصفحات التّحول,48.72602
2017-12-08T12:26:05Z,',5.28529
2018-02-20T17:10:44Z,åß∂ƒ©˙∆˚¬…æ,48.67467
2017-12-14T09:58:34Z,ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,89.12793
2018-08-08T15:02:08Z,사회과학원 어학연구소,9.04299
2018-07-31T18:29:46Z,¡™£¢∞§¶•ªº–≠,15.8302
2018-01-14T04:55:37Z,❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,65.16793
2017-12-12T22:36:45Z,/dev/null; touch /tmp/blns.fail ; echo,52.68555
2018-04-24T05:48:13Z,",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’",55.36173
2018-01-04T11:47:37Z,Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,6.30791
2018-07-25T10:07:57Z,␡,99.37812
2018-06-03T23:51:47Z,"""""",30.86299
2018-01-09T13:52:31Z,-1E2,4.25416
2017-12-17T07:55:49Z,👩🏽,95.12756
2018-04-23T07:25:28Z,0.00,48.7731
2017-11-28T12:04:02Z,・(￣∀￣)・:*:,33.96029
2018-04-09T08:05:12Z,(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,37.25268
2018-08-08T18:09:24Z,​,76.34231
2018-01-22T10:29:39Z,사회과학원 어학연구소,96.55173
2018-09-07T11:24:57Z,-1E2,2.67176
2018-10-15T19:59:41Z,👩🏽,92.30529
2017-11-10T17:12:41Z,<img src=x onerror=alert('hi') />,39.41319
2018-08-18T00:39:18Z,1E2,4.26579
2018-04-29T23:15:18Z,社會科學院語學研究所,18.32631
2018-09-01T14:45:13Z,"""""",28.39818
2018-01-28T07:12:03Z,"__ﾛ(,_,*)",20.55578
2018-03-08T01:23:05Z,$1.00,37.76365
2018-09-24T14:29:07Z,"<>?:""{}|_+",3.82087
2018-05-09T02:37:35Z,œ∑´®†¥¨ˆøπ“‘,31.29039
2018-02-15T12:51:21Z,١٢٣,76.81734
2017-11-17T22:43:59Z,‪‪test‪,31.33682
2017-12-08T21:08:10Z,̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,45.74344
2017-12-17T22:03:26Z, test ,14.99473
2018-04-29T12:28:10Z,(｡◕ ∀ ◕｡),52.6081
2018-09-21T09:10:46Z,"'""'",64.34837
2018-03-30T19:20:26Z,1;DROP TABLE users,79.90765
2018-06-21T10:40:42Z,-1E2,2.12598
2017-11-20T17:18:14Z,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,45.06208
2018-03-02T22:55:45Z,"'""'",92.44822
2018-10-18T18:46:05Z,1E+02,43.11012
